Order,Question,Answer
1,Abkhazia,Sukhumi
2,Afghanistan,Kabul
3,Akrotiri and Dhekelia,Episkopi Cantonment
4,Albania,Tirana
5,Algeria,Algiers
6,American Samoa,Pago Pago
7,Andorra,Andorra la Vella
8,Angola,Luanda
9,Anguilla,The Valley
10,Antigua and Barbuda,St. John's
11,Argentina,Buenos Aires
12,Armenia,Yerevan
13,Aruba,Oranjestad
14,Ascension Island,Georgetown
15,Australia,Canberra
16,Austria,Vienna
17,Azerbaijan,Baku
18,Bahamas,Nassau
19,Bahrain,Manama
20,Bangladesh,Dhaka
21,Barbados,Bridgetown
22,Belarus,Minsk
23,Belgium,Brussels
24,Belize,Belmopan
25,Benin,Porto-Novo
26,Bermuda,Hamilton
27,Bhutan,Thimphu
28,Bolivia,Sucre
29,Bolivia,La Paz
30,Bosnia and Herzegovina,Sarajevo
31,Botswana,Gaborone
32,Brazil,Brasília
33,British Virgin Islands,Road Town
34,Brunei,Bandar Seri Begawan
35,Bulgaria,Sofia
36,Burkina Faso,Ouagadougou
37,Burundi,Bujumbura
38,Cambodia,Phnom Penh
39,Cameroon,Yaoundé
40,Canada,Ottawa
41,Cape Verde,Praia
42,Cayman Islands,George Town
43,Central African Republic,Bangui
44,Chad,N'Djamena
45,Chile,Santiago
46,China,Beijing
47,Christmas Island,Flying Fish Cove
48,Cocos (Keeling) Islands,West Island
49,Colombia,Bogotá
50,Comoros,Moroni
51,Cook Islands,Avarua
52,Costa Rica,San José
53,Croatia,Zagreb
54,Cuba,Havana
55,Curaçao,Willemstad
56,Cyprus,Nicosia
57,Czech Republic,Prague
58,Côte d'Ivoire,Yamoussoukro
59,Democratic Republic of the Congo,Kinshasa
60,Denmark,Copenhagen
61,Djibouti,Djibouti
62,Dominica,Roseau
63,Dominican Republic,Santo Domingo
64,East Timor (Timor-Leste),Dili
65,Easter Island,Hanga Roa
66,Ecuador,Quito
67,Egypt,Cairo
68,El Salvador,San Salvador
69,Equatorial Guinea,Malabo
70,Eritrea,Asmara
71,Estonia,Tallinn
72,Ethiopia,Addis Ababa
73,Falkland Islands,Stanley
74,Faroe Islands,Tórshavn
75,Federated States of Micronesia,Palikir
76,Fiji,Suva
77,Finland,Helsinki
78,France,Paris
79,French Guiana,Cayenne
80,French Polynesia,Papeete
81,Gabon,Libreville
82,Gambia,Banjul
83,Georgia,Tbilisi
84,Germany,Berlin
85,Ghana,Accra
86,Gibraltar,Gibraltar
87,Greece,Athens
88,Greenland,Nuuk
89,Grenada,St. George's
90,Guam,Hagåtña
91,Guatemala,Guatemala City
92,Guernsey,St. Peter Port
93,Guinea,Conakry
94,Guinea-Bissau,Bissau
95,Guyana,Georgetown
96,Haiti,Port-au-Prince
97,Honduras,Tegucigalpa
98,Hungary,Budapest
99,Iceland,Reykjavík
100,India,New Delhi
101,Indonesia,Jakarta
102,Iran,Tehran
103,Iraq,Baghdad
104,Ireland,Dublin
105,Isle of Man,Douglas
106,Israel,Jerusalem
107,Italy,Rome
108,Jamaica,Kingston
109,Japan,Tokyo
110,Jersey,St. Helier
111,Jordan,Amman
112,Kazakhstan,Astana
113,Kenya,Nairobi
114,Kiribati,Tarawa
115,Kosovo,Pristina
116,Kuwait,Kuwait City
117,Kyrgyzstan,Bishkek
118,Laos,Vientiane
119,Latvia,Riga
120,Lebanon,Beirut
121,Lesotho,Maseru
122,Liberia,Monrovia
123,Libya,Tripoli
124,Liechtenstein,Vaduz
125,Lithuania,Vilnius
126,Luxembourg,Luxembourg
127,Macedonia,Skopje
128,Madagascar,Antananarivo
129,Malawi,Lilongwe
130,Malaysia,Kuala Lumpur
131,Maldives,Malé
132,Mali,Bamako
133,Malta,Valletta
134,Marshall Islands,Majuro
135,Mauritania,Nouakchott
136,Mauritius,Port Louis
137,Mexico,Mexico City
138,Moldova,Chisinau
139,Monaco,Monaco
140,Mongolia,Ulaanbaatar
141,Montenegro,Podgorica
142,Montserrat,Plymouth
143,Morocco,Rabat
144,Mozambique,Maputo
145,Myanmar,Naypyidaw
146,Nagorno-Karabakh Republic,Stepanakert
147,Namibia,Windhoek
148,Nauru,Yaren
149,Nepal,Kathmandu
150,Netherlands,Amsterdam
151,New Caledonia,Nouméa
152,New Zealand,Wellington
153,Nicaragua,Managua
154,Niger,Niamey
155,Nigeria,Abuja
156,Niue,Alofi
157,Norfolk Island,Kingston
158,North Korea,Pyongyang
159,Northern Cyprus,Nicosia
160,United Kingdom Northern Ireland,Belfast
161,Northern Mariana Islands,Saipan
162,Norway,Oslo
163,Oman,Muscat
164,Pakistan,Islamabad
165,Palau,Ngerulmud
166,Palestine,Jerusalem
167,Panama,Panama City
168,Papua New Guinea,Port Moresby
169,Paraguay,Asunción
170,Peru,Lima
171,Philippines,Manila
172,Pitcairn Islands,Adamstown
173,Poland,Warsaw
174,Portugal,Lisbon
175,Puerto Rico,San Juan
176,Qatar,Doha
177,Republic of China (Taiwan),Taipei
178,Republic of the Congo,Brazzaville
179,Romania,Bucharest
180,Russia,Moscow
181,Rwanda,Kigali
182,Saint Barthélemy,Gustavia
183,Saint Helena,Jamestown
184,Saint Kitts and Nevis,Basseterre
185,Saint Lucia,Castries
186,Saint Martin,Marigot
187,Saint Pierre and Miquelon,St. Pierre
188,Saint Vincent and the Grenadines,Kingstown
189,Samoa,Apia
190,San Marino,San Marino
191,Saudi Arabia,Riyadh
192,Scotland,Edinburgh
193,Senegal,Dakar
194,Serbia,Belgrade
195,Seychelles,Victoria
