Order,Question,Answer
1,Alabama,Montgomery
2,Alaska,Juneau
3,Arizona,Phoenix
4,Arkansas,Little Rock
5,California,Sacramento
6,Colorado,Denver
7,Connecticut,Hartford
8,Delaware,Dover
9,Florida,Tallahassee
10,Georgia,Atlanta
11,Hawaii,Honolulu
12,Idaho,Boise
13,Illinois,Springfield
14,Indiana,Indianapolis
15,Iowa,Des Moines
16,Kansas,Topeka
17,Kentucky,Frankfort
18,Louisiana,Baton Rouge
19,Maine,Augusta
20,Maryland,Annapolis
21,Massachusetts,Boston
22,Michigan,Lansing
23,Minnesota,Saint Paul
24,Mississippi,Jackson
25,Missouri,Jefferson City
26,Montana,Helena
27,Nebraska,Lincoln
28,Nevada,Carson City
29,New hampshire,Concord
30,New jersey,Trenton
31,New mexico,Santa Fe
32,New york,Albany
33,North carolina,Raleigh
34,North dakota,Bismarck
35,Ohio,Columbus
36,Oklahoma,Oklahoma City
37,Oregon,Salem
38,Pennsylvania,Harrisburg
39,Rhode island,Providence
40,South carolina,Columbia
41,South dakota,Pierre
42,Tennessee,Nashville
43,Texas,Austin
44,Utah,Salt Lake City
45,Vermont,Montpelier
46,Virginia,Richmond
47,Washington,Olympia
48,West virginia,Charleston
49,Wisconsin,Madison
50,Wyoming,Cheyenne
